Index,RecordType,FrameIndex,World,ExecutingSystem,OriginSystem,Entities,ComponentTypes,Data
167,GetBufferRW,152,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
168,SetComponentData,152,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.45000012777746 DeltaTime=0.01666667}}]"
169,GetBufferRW,152,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
170,SetComponentData,152,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.45636713132262 DeltaTime=0.0129872}}]"
171,SetComponentData,153,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.46604673005641 DeltaTime=0.009679599}}]"
172,GetBufferRW,153,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
173,SetComponentData,153,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.22197204828262 DeltaTime=0.0707405}}]"
174,GetBufferRW,153,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
175,SetComponentData,153,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.46604673005641 DeltaTime=0.009679599}}]"
176,SetComponentData,154,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.47971593402326 DeltaTime=0.0136692}}]"
177,GetBufferRW,154,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
178,SetComponentData,154,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.46666679531336 DeltaTime=0.01666667}}]"
179,GetBufferRW,154,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
180,SetComponentData,154,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.47971593402326 DeltaTime=0.0136692}}]"
181,SetComponentData,155,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.48999113216996 DeltaTime=0.0102752}}]"
182,GetBufferRW,155,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
183,SetComponentData,155,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.48333346284926 DeltaTime=0.01666667}}]"
184,GetBufferRW,155,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
185,SetComponentData,155,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.48999113216996 DeltaTime=0.0102752}}]"
186,SetComponentData,156,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.49872452951968 DeltaTime=0.008733397}}]"
187,GetBufferRW,157,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
188,SetComponentData,157,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.51248233113438 DeltaTime=0.0137578}}]"
189,GetBufferRW,157,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
190,SetComponentData,157,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.50000013038516 DeltaTime=0.01666667}}]"
191,GetBufferRW,157,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
192,SetComponentData,157,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.51248233113438 DeltaTime=0.0137578}}]"
193,SetComponentData,158,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.52679762989283 DeltaTime=0.0143153}}]"
194,GetBufferRW,158,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
195,SetComponentData,158,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.51666679792106 DeltaTime=0.01666667}}]"
196,GetBufferRW,158,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
197,SetComponentData,158,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.52679762989283 DeltaTime=0.0143153}}]"
198,SetComponentData,159,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.54105073399842 DeltaTime=0.0142531}}]"
199,GetBufferRW,159,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
200,SetComponentData,159,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.53333346545696 DeltaTime=0.01666667}}]"
201,GetBufferRW,159,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
202,SetComponentData,159,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.54105073399842 DeltaTime=0.0142531}}]"
203,GetBufferRW,159,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
204,SetComponentData,159,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.29677645117044 DeltaTime=0.0748044}}]"
205,GetBufferRW,159,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
206,SetComponentData,159,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.54105073399842 DeltaTime=0.0142531}}]"
207,SetComponentData,160,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.55223393253982 DeltaTime=0.0111832}}]"
208,GetBufferRW,160,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
209,SetComponentData,160,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.55000013299286 DeltaTime=0.01666667}}]"
210,GetBufferRW,160,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
211,SetComponentData,160,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.55223393253982 DeltaTime=0.0111832}}]"
212,SetComponentData,161,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.5617830324918 DeltaTime=0.0095491}}]"
213,SetComponentData,162,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.57644532714039 DeltaTime=0.01466229}}]"
214,GetBufferRW,162,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
215,SetComponentData,162,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.56666680052876 DeltaTime=0.01666667}}]"
216,GetBufferRW,162,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
217,SetComponentData,162,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.57644532714039 DeltaTime=0.01466229}}]"
218,SetComponentData,163,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.58800813183188 DeltaTime=0.0115628}}]"
219,GetBufferRW,163,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
220,SetComponentData,163,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.58333346806467 DeltaTime=0.01666667}}]"
221,GetBufferRW,163,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
222,SetComponentData,163,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.58800813183188 DeltaTime=0.0115628}}]"
223,SetComponentData,164,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.59983372688293 DeltaTime=0.0118256}}]"
224,SetComponentData,165,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.61486323364079 DeltaTime=0.01502951}}]"
225,GetBufferRW,165,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
226,SetComponentData,165,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.60000013560057 DeltaTime=0.01666667}}]"
227,GetBufferRW,165,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
228,SetComponentData,165,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.61486323364079 DeltaTime=0.01502951}}]"
229,GetBufferRW,165,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
230,SetComponentData,165,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.3705343529582 DeltaTime=0.0737579}}]"
231,GetBufferRW,165,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
232,SetComponentData,165,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.61486323364079 DeltaTime=0.01502951}}]"
233,SetComponentData,166,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.6254849312827 DeltaTime=0.0106217}}]"
234,GetBufferRW,166,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
235,SetComponentData,166,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.61666680313647 DeltaTime=0.01666667}}]"
236,GetBufferRW,166,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
237,SetComponentData,166,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.6254849312827 DeltaTime=0.0106217}}]"
238,SetComponentData,167,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.63789342716336 DeltaTime=0.0124085}}]"
239,GetBufferRW,167,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
240,SetComponentData,167,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.63333347067237 DeltaTime=0.01666667}}]"
241,GetBufferRW,167,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
242,SetComponentData,167,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.63789342716336 DeltaTime=0.0124085}}]"
243,SetComponentData,168,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.65233743190765 DeltaTime=0.014444}}]"
244,GetBufferRW,168,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
245,SetComponentData,168,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.65000013820827 DeltaTime=0.01666667}}]"
246,GetBufferRW,168,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
247,SetComponentData,168,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.65233743190765 DeltaTime=0.014444}}]"
248,GetBufferRW,169,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
249,SetComponentData,169,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.66446783114225 DeltaTime=0.0121304}}]"
250,SetComponentData,170,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.68215782474726 DeltaTime=0.01768999}}]"
251,GetBufferRW,170,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
252,SetComponentData,170,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.66666680574417 DeltaTime=0.01666667}}]"
253,GetBufferRW,170,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
254,SetComponentData,170,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.68215782474726 DeltaTime=0.01768999}}]"
255,GetBufferRW,170,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
256,SetComponentData,170,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.4382690563798 DeltaTime=0.0677347}}]"
257,GetBufferRW,170,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
258,SetComponentData,170,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.68215782474726 DeltaTime=0.01768999}}]"
259,SetComponentData,171,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.69243483059108 DeltaTime=0.01027701}}]"
260,GetBufferRW,171,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
261,SetComponentData,171,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.68333347328007 DeltaTime=0.01666667}}]"
262,GetBufferRW,171,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
263,SetComponentData,171,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.69243483059108 DeltaTime=0.01027701}}]"
264,SetComponentData,172,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.70848303101957 DeltaTime=0.0160482}}]"
265,GetBufferRW,172,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
266,SetComponentData,172,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.70000014081597 DeltaTime=0.01666667}}]"
267,GetBufferRW,172,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
268,SetComponentData,172,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.70848303101957 DeltaTime=0.0160482}}]"
269,SetComponentData,173,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.7191989319399 DeltaTime=0.0107159}}]"
270,GetBufferRW,173,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
271,SetComponentData,173,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.71666680835187 DeltaTime=0.01666667}}]"
272,GetBufferRW,173,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
273,SetComponentData,173,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.7191989319399 DeltaTime=0.0107159}}]"
274,SetComponentData,174,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.73151773121208 DeltaTime=0.0123188}}]"
275,SetComponentData,175,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.74793492909521 DeltaTime=0.0164172}}]"
276,GetBufferRW,175,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
277,SetComponentData,175,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.73333347588778 DeltaTime=0.01666667}}]"
278,GetBufferRW,175,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
279,SetComponentData,175,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.74793492909521 DeltaTime=0.0164172}}]"
280,SetComponentData,176,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.75752212479711 DeltaTime=0.009587196}}]"
281,GetBufferRW,176,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
282,SetComponentData,176,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.75000014342368 DeltaTime=0.01666667}}]"
283,GetBufferRW,176,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
284,SetComponentData,176,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.75752212479711 DeltaTime=0.009587196}}]"
285,GetBufferRW,176,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
286,SetComponentData,176,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.51320015639067 DeltaTime=0.0749311}}]"
287,GetBufferRW,176,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
288,SetComponentData,176,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.75752212479711 DeltaTime=0.009587196}}]"
289,SetComponentData,177,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.76993602793664 DeltaTime=0.0124139}}]"
290,GetBufferRW,177,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
291,SetComponentData,177,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.76666681095958 DeltaTime=0.01666667}}]"
292,GetBufferRW,177,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
293,SetComponentData,177,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.76993602793664 DeltaTime=0.0124139}}]"
294,SetComponentData,178,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.78365042712539 DeltaTime=0.0137144}}]"
295,GetBufferRW,178,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
296,SetComponentData,178,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.78333347849548 DeltaTime=0.01666667}}]"
297,GetBufferRW,178,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
298,SetComponentData,178,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.78365042712539 DeltaTime=0.0137144}}]"
299,SetComponentData,179,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.79635692480952 DeltaTime=0.0127065}}]"
300,SetComponentData,180,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.81084252614528 DeltaTime=0.0144856}}]"
301,GetBufferRW,180,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
302,SetComponentData,180,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.80000014603138 DeltaTime=0.01666667}}]"
303,GetBufferRW,180,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
304,SetComponentData,180,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.81084252614528 DeltaTime=0.0144856}}]"
305,SetComponentData,181,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.82114682719111 DeltaTime=0.0103043}}]"
306,GetBufferRW,181,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
307,SetComponentData,181,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.81666681356728 DeltaTime=0.01666667}}]"
308,GetBufferRW,181,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
309,SetComponentData,181,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.82114682719111 DeltaTime=0.0103043}}]"
310,GetBufferRW,182,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
311,SetComponentData,182,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.83149942755699 DeltaTime=0.0103526}}]"
312,GetBufferRW,182,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
313,SetComponentData,182,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.58710905909538 DeltaTime=0.0739089}}]"
314,GetBufferRW,182,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
315,SetComponentData,182,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.83149942755699 DeltaTime=0.0103526}}]"
316,SetComponentData,183,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.85240042582154 DeltaTime=0.020901}}]"
317,GetBufferRW,183,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
318,SetComponentData,183,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.83333348110318 DeltaTime=0.01666667}}]"
319,GetBufferRW,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
320,SetComponentData,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.85240042582154 DeltaTime=0.020901}}]"
321,GetBufferRW,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
322,SetComponentData,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.85000014863908 DeltaTime=0.01666667}}]"
323,GetBufferRW,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
324,SetComponentData,183,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.85240042582154 DeltaTime=0.020901}}]"
325,SetComponentData,184,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.86176872905344 DeltaTime=0.009368303}}]"
326,SetComponentData,185,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.87573142722249 DeltaTime=0.0139627}}]"
327,GetBufferRW,185,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
328,SetComponentData,185,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.86666681617498 DeltaTime=0.01666667}}]"
329,GetBufferRW,185,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
330,SetComponentData,185,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.87573142722249 DeltaTime=0.0139627}}]"
331,SetComponentData,186,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.88700922671705 DeltaTime=0.0112778}}]"
332,GetBufferRW,186,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
333,SetComponentData,186,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.88333348371089 DeltaTime=0.01666667}}]"
334,GetBufferRW,186,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
